Date,IN,OUT,street,value,day,month,week,tavg,tmin,tmax,prcp,bank_holiday,days_countdown
2015-01-01,1593.0,1888.0,Capel_Street,3481.0,Thursday,January,1,11.4,8.9,14.1,4.6,True,358
2015-01-01,9520.0,9801.0,Henry_Street,19321.0,Thursday,January,1,11.4,8.9,14.1,4.6,True,358
2015-01-01,1188.0,1069.0,Mary_Street,2257.0,Thursday,January,1,11.4,8.9,14.1,4.6,True,358
2015-01-01,5879.0,4882.0,O_Connell_St,10761.0,Thursday,January,1,11.4,8.9,14.1,4.6,True,358
2015-02-01,2150.0,2287.0,Capel_Street,4437.0,Sunday,February,5,0.7,-1.9,4.6,0.0,False,327
2015-02-01,23862.0,24316.0,Henry_Street,48178.0,Sunday,February,5,0.7,-1.9,4.6,0.0,False,327
2015-02-01,3339.0,3738.0,Mary_Street,7077.0,Sunday,February,5,0.7,-1.9,4.6,0.0,False,327
2015-02-01,7414.0,9550.0,O_Connell_St,16964.0,Sunday,February,5,0.7,-1.9,4.6,0.0,False,327
2015-03-01,2819.0,2459.0,Capel_Street,5278.0,Sunday,March,9,3.5,3.3,5.8,8.2,False,299
2015-03-01,17613.0,17765.0,Henry_Street,35378.0,Sunday,March,9,3.5,3.3,5.8,8.2,False,299
2015-03-01,2786.0,3353.0,Mary_Street,6139.0,Sunday,March,9,3.5,3.3,5.8,8.2,False,299
2015-03-01,5369.0,7487.0,O_Connell_St,12856.0,Sunday,March,9,3.5,3.3,5.8,8.2,False,299
2015-04-01,2020.0,2078.0,Capel_Street,4098.0,Wednesday,April,14,6.3,2.6,10.3,8.5,False,268
2015-04-01,13832.0,15332.0,Henry_Street,29164.0,Wednesday,April,14,6.3,2.6,10.3,8.5,False,268
2015-04-01,2323.0,2999.0,Mary_Street,5322.0,Wednesday,April,14,6.3,2.6,10.3,8.5,False,268
2015-04-01,4786.0,5936.0,O_Connell_St,10722.0,Wednesday,April,14,6.3,2.6,10.3,8.5,False,268
2015-05-01,3162.0,2595.0,Capel_Street,5757.0,Friday,May,18,6.8,2.9,10.9,11.7,False,238
2015-05-01,20317.0,22289.0,Henry_Street,42606.0,Friday,May,18,6.8,2.9,10.9,11.7,False,238
2015-05-01,3133.0,3537.0,Mary_Street,6670.0,Friday,May,18,6.8,2.9,10.9,11.7,False,238
2015-05-01,8481.0,8618.0,O_Connell_St,17099.0,Friday,May,18,6.8,2.9,10.9,11.7,False,238
2015-06-01,3032.0,2610.0,Capel_Street,5642.0,Monday,June,23,8.4,4.7,13.1,4.6,True,207
2015-06-01,21070.0,21447.0,Henry_Street,42517.0,Monday,June,23,8.4,4.7,13.1,4.6,True,207
2015-06-01,2992.0,3176.0,Mary_Street,6168.0,Monday,June,23,8.4,4.7,13.1,4.6,True,207
2015-06-01,7303.0,9138.0,O_Connell_St,16441.0,Monday,June,23,8.4,4.7,13.1,4.6,True,207
2015-07-01,2194.0,2114.0,Capel_Street,4308.0,Wednesday,July,27,19.0,15.8,23.6,0.0,False,177
2015-07-01,17140.0,18098.0,Henry_Street,35238.0,Wednesday,July,27,19.0,15.8,23.6,0.0,False,177
2015-07-01,2131.0,1774.0,Mary_Street,3905.0,Wednesday,July,27,19.0,15.8,23.6,0.0,False,177
2015-07-01,5643.0,5808.0,O_Connell_St,11451.0,Wednesday,July,27,19.0,15.8,23.6,0.0,False,177
2015-08-01,2477.0,2428.0,Capel_Street,4905.0,Saturday,August,31,13.9,8.2,19.2,6.5,False,146
2015-08-01,21414.0,21817.0,Henry_Street,43231.0,Saturday,August,31,13.9,8.2,19.2,6.5,False,146
2015-08-01,2873.0,3044.0,Mary_Street,5917.0,Saturday,August,31,13.9,8.2,19.2,6.5,False,146
2015-08-01,7128.0,7867.0,O_Connell_St,14995.0,Saturday,August,31,13.9,8.2,19.2,6.5,False,146
2015-09-01,2548.0,2421.0,Capel_Street,4969.0,Tuesday,September,36,11.4,8.6,16.6,1.4,False,115
2015-09-01,18502.0,19600.0,Henry_Street,38102.0,Tuesday,September,36,11.4,8.6,16.6,1.4,False,115
2015-09-01,2389.0,1976.0,Mary_Street,4365.0,Tuesday,September,36,11.4,8.6,16.6,1.4,False,115
2015-09-01,6458.0,7455.0,O_Connell_St,13913.0,Tuesday,September,36,11.4,8.6,16.6,1.4,False,115
2015-10-01,2720.0,2733.0,Capel_Street,5453.0,Thursday,October,40,10.3,5.9,17.4,0.0,False,85
2015-10-01,18993.0,19240.0,Henry_Street,38233.0,Thursday,October,40,10.3,5.9,17.4,0.0,False,85
2015-10-01,3002.0,2677.0,Mary_Street,5679.0,Thursday,October,40,10.3,5.9,17.4,0.0,False,85
2015-10-01,5921.0,7540.0,O_Connell_St,13461.0,Thursday,October,40,10.3,5.9,17.4,0.0,False,85
2015-11-01,1918.0,1995.0,Capel_Street,3913.0,Sunday,November,44,9.1,4.6,16.6,0.2,False,54
2015-11-01,14009.0,13966.0,Henry_Street,27975.0,Sunday,November,44,9.1,4.6,16.6,0.2,False,54
2015-11-01,2041.0,2003.0,Mary_Street,4044.0,Sunday,November,44,9.1,4.6,16.6,0.2,False,54
2015-11-01,4042.0,3627.0,O_Connell_St,7669.0,Sunday,November,44,9.1,4.6,16.6,0.2,False,54
2015-12-01,2514.0,2506.0,Capel_Street,5020.0,Tuesday,December,49,11.1,2.4,14.1,0.4,False,24
2015-12-01,17447.0,17803.0,Henry_Street,35250.0,Tuesday,December,49,11.1,2.4,14.1,0.4,False,24
2015-12-01,2633.0,2547.0,Mary_Street,5180.0,Tuesday,December,49,11.1,2.4,14.1,0.4,False,24
2015-12-01,6974.0,8261.0,O_Connell_St,15235.0,Tuesday,December,49,11.1,2.4,14.1,0.4,False,24
2015-01-13,2632.0,2395.0,Capel_Street,5027.0,Tuesday,January,3,2.3,1.4,4.7,0.0,False,346
2015-01-13,17776.0,17838.0,Henry_Street,35614.0,Tuesday,January,3,2.3,1.4,4.7,0.0,False,346
2015-01-13,2587.0,2201.0,Mary_Street,4788.0,Tuesday,January,3,2.3,1.4,4.7,0.0,False,346
2015-01-13,6456.0,7479.0,O_Connell_St,13935.0,Tuesday,January,3,2.3,1.4,4.7,0.0,False,346
2015-01-14,2544.0,2392.0,Capel_Street,4936.0,Wednesday,January,3,3.7,-0.2,10.7,6.3,False,345
2015-01-14,18721.0,19880.0,Henry_Street,38601.0,Wednesday,January,3,3.7,-0.2,10.7,6.3,False,345
2015-01-14,2442.0,2606.0,Mary_Street,5048.0,Wednesday,January,3,3.7,-0.2,10.7,6.3,False,345
2015-01-14,6906.0,6823.0,O_Connell_St,13729.0,Wednesday,January,3,3.7,-0.2,10.7,6.3,False,345
2015-01-15,2604.0,2296.0,Capel_Street,4900.0,Thursday,January,3,4.3,1.0,5.8,3.9,False,344
2015-01-15,17310.0,18040.0,Henry_Street,35350.0,Thursday,January,3,4.3,1.0,5.8,3.9,False,344
2015-01-15,2250.0,1837.0,Mary_Street,4087.0,Thursday,January,3,4.3,1.0,5.8,3.9,False,344
2015-01-15,6414.0,7472.0,O_Connell_St,13886.0,Thursday,January,3,4.3,1.0,5.8,3.9,False,344
2015-01-16,3012.0,2808.0,Capel_Street,5820.0,Friday,January,3,1.8,1.0,3.4,0.0,False,343
2015-01-16,21568.0,22384.0,Henry_Street,43952.0,Friday,January,3,1.8,1.0,3.4,0.0,False,343
2015-01-16,3089.0,3261.0,Mary_Street,6350.0,Friday,January,3,1.8,1.0,3.4,0.0,False,343
2015-01-16,7838.0,10409.0,O_Connell_St,18247.0,Friday,January,3,1.8,1.0,3.4,0.0,False,343
2015-01-17,3074.0,2770.0,Capel_Street,5844.0,Saturday,January,3,1.7,0.8,4.4,0.0,False,342
2015-01-17,21321.0,22101.0,Henry_Street,43422.0,Saturday,January,3,1.7,0.8,4.4,0.0,False,342
2015-01-17,3438.0,3761.0,Mary_Street,7199.0,Saturday,January,3,1.7,0.8,4.4,0.0,False,342
2015-01-17,6446.0,8820.0,O_Connell_St,15266.0,Saturday,January,3,1.7,0.8,4.4,0.0,False,342
2015-01-18,2158.0,2249.0,Capel_Street,4407.0,Sunday,January,3,1.2,-0.9,5.2,0.0,False,341
2015-01-18,15900.0,14025.0,Henry_Street,29925.0,Sunday,January,3,1.2,-0.9,5.2,0.0,False,341
2015-01-18,2361.0,3007.0,Mary_Street,5368.0,Sunday,January,3,1.2,-0.9,5.2,0.0,False,341
2015-01-18,4849.0,6894.0,O_Connell_St,11743.0,Sunday,January,3,1.2,-0.9,5.2,0.0,False,341
2015-01-19,2898.0,2698.0,Capel_Street,5596.0,Monday,January,4,-0.8,-4.3,3.8,0.1,False,340
2015-01-19,19509.0,21056.0,Henry_Street,40565.0,Monday,January,4,-0.8,-4.3,3.8,0.1,False,340
2015-01-19,2924.0,3421.0,Mary_Street,6345.0,Monday,January,4,-0.8,-4.3,3.8,0.1,False,340
2015-01-19,7662.0,8701.0,O_Connell_St,16363.0,Monday,January,4,-0.8,-4.3,3.8,0.1,False,340
2015-01-20,2769.0,2711.0,Capel_Street,5480.0,Tuesday,January,4,3.2,-3.7,4.7,1.6,False,339
2015-01-20,18230.0,20403.0,Henry_Street,38633.0,Tuesday,January,4,3.2,-3.7,4.7,1.6,False,339
2015-01-20,2486.0,2793.0,Mary_Street,5279.0,Tuesday,January,4,3.2,-3.7,4.7,1.6,False,339
2015-01-20,6758.0,6934.0,O_Connell_St,13692.0,Tuesday,January,4,3.2,-3.7,4.7,1.6,False,339
2015-01-21,2859.0,2828.0,Capel_Street,5687.0,Wednesday,January,4,1.8,1.3,4.7,0.1,False,338
2015-01-21,20695.0,20971.0,Henry_Street,41666.0,Wednesday,January,4,1.8,1.3,4.7,0.1,False,338
2015-01-21,2834.0,3091.0,Mary_Street,5925.0,Wednesday,January,4,1.8,1.3,4.7,0.1,False,338
2015-01-21,7031.0,9328.0,O_Connell_St,16359.0,Wednesday,January,4,1.8,1.3,4.7,0.1,False,338
2015-01-22,3094.0,2964.0,Capel_Street,6058.0,Thursday,January,4,1.8,0.0,7.6,0.1,False,337
2015-01-22,23662.0,25510.0,Henry_Street,49172.0,Thursday,January,4,1.8,0.0,7.6,0.1,False,337
2015-01-22,3262.0,3751.0,Mary_Street,7013.0,Thursday,January,4,1.8,0.0,7.6,0.1,False,337
2015-01-22,7483.0,8928.0,O_Connell_St,16411.0,Thursday,January,4,1.8,0.0,7.6,0.1,False,337
2015-01-23,2950.0,2880.0,Capel_Street,5830.0,Friday,January,4,6.4,-0.9,10.6,2.2,False,336
2015-01-23,21798.0,22440.0,Henry_Street,44238.0,Friday,January,4,6.4,-0.9,10.6,2.2,False,336
2015-01-23,2819.0,2657.0,Mary_Street,5476.0,Friday,January,4,6.4,-0.9,10.6,2.2,False,336
2015-01-23,7289.0,7817.0,O_Connell_St,15106.0,Friday,January,4,6.4,-0.9,10.6,2.2,False,336
2015-01-24,3373.0,2915.0,Capel_Street,6288.0,Saturday,January,4,3.3,0.6,8.3,0.0,False,335
2015-01-24,22315.0,23354.0,Henry_Street,45669.0,Saturday,January,4,3.3,0.6,8.3,0.0,False,335
2015-01-24,3633.0,4144.0,Mary_Street,7777.0,Saturday,January,4,3.3,0.6,8.3,0.0,False,335
2015-01-24,6619.0,8128.0,O_Connell_St,14747.0,Saturday,January,4,3.3,0.6,8.3,0.0,False,335
2015-01-25,2182.0,2299.0,Capel_Street,4481.0,Sunday,January,4,8.3,1.1,11.5,1.5,False,334
2015-01-25,15384.0,16072.0,Henry_Street,31456.0,Sunday,January,4,8.3,1.1,11.5,1.5,False,334
2015-01-25,2610.0,2596.0,Mary_Street,5206.0,Sunday,January,4,8.3,1.1,11.5,1.5,False,334
2015-01-25,5031.0,5217.0,O_Connell_St,10248.0,Sunday,January,4,8.3,1.1,11.5,1.5,False,334
2015-01-26,2848.0,2532.0,Capel_Street,5380.0,Monday,January,5,5.7,3.4,7.2,0.0,False,333
2015-01-26,20299.0,20169.0,Henry_Street,40468.0,Monday,January,5,5.7,3.4,7.2,0.0,False,333
2015-01-26,2800.0,2578.0,Mary_Street,5378.0,Monday,January,5,5.7,3.4,7.2,0.0,False,333
2015-01-26,6675.0,8269.0,O_Connell_St,14944.0,Monday,January,5,5.7,3.4,7.2,0.0,False,333
2015-01-27,2969.0,2722.0,Capel_Street,5691.0,Tuesday,January,5,6.1,3.3,9.5,1.2,False,332
2015-01-27,20201.0,20460.0,Henry_Street,40661.0,Tuesday,January,5,6.1,3.3,9.5,1.2,False,332
2015-01-27,2911.0,2635.0,Mary_Street,5546.0,Tuesday,January,5,6.1,3.3,9.5,1.2,False,332
2015-01-27,7212.0,7546.0,O_Connell_St,14758.0,Tuesday,January,5,6.1,3.3,9.5,1.2,False,332
2015-01-28,2880.0,2497.0,Capel_Street,5377.0,Wednesday,January,5,4.6,2.4,4.6,0.6,False,331
2015-01-28,17854.0,17090.0,Henry_Street,34944.0,Wednesday,January,5,4.6,2.4,4.6,0.6,False,331
2015-01-28,2401.0,1828.0,Mary_Street,4229.0,Wednesday,January,5,4.6,2.4,4.6,0.6,False,331
2015-01-28,6300.0,7564.0,O_Connell_St,13864.0,Wednesday,January,5,4.6,2.4,4.6,0.6,False,331
2015-01-29,2785.0,2579.0,Capel_Street,5364.0,Thursday,January,5,1.6,1.3,4.2,5.7,False,330
2015-01-29,18882.0,18328.0,Henry_Street,37210.0,Thursday,January,5,1.6,1.3,4.2,5.7,False,330
2015-01-29,2318.0,1591.0,Mary_Street,3909.0,Thursday,January,5,1.6,1.3,4.2,5.7,False,330
2015-01-29,4817.0,5566.0,O_Connell_St,10383.0,Thursday,January,5,1.6,1.3,4.2,5.7,False,330
2015-01-30,3161.0,2914.0,Capel_Street,6075.0,Friday,January,5,3.2,0.3,6.5,0.0,False,329
2015-01-30,23028.0,23760.0,Henry_Street,46788.0,Friday,January,5,3.2,0.3,6.5,0.0,False,329
2015-01-30,3248.0,3084.0,Mary_Street,6332.0,Friday,January,5,3.2,0.3,6.5,0.0,False,329
2015-01-30,7980.0,10618.0,O_Connell_St,18598.0,Friday,January,5,3.2,0.3,6.5,0.0,False,329
2015-01-31,3363.0,2892.0,Capel_Street,6255.0,Saturday,January,5,2.3,1.0,5.2,0.0,False,328
2015-01-31,21366.0,21211.0,Henry_Street,42577.0,Saturday,January,5,2.3,1.0,5.2,0.0,False,328
2015-01-31,3527.0,3489.0,Mary_Street,7016.0,Saturday,January,5,2.3,1.0,5.2,0.0,False,328
2015-01-31,5265.0,8270.0,O_Connell_St,13535.0,Saturday,January,5,2.3,1.0,5.2,0.0,False,328
2015-01-02,2403.0,2198.0,Capel_Street,4601.0,Friday,January,1,5.4,3.2,6.8,8.4,False,357
2015-01-02,15723.0,15982.0,Henry_Street,31705.0,Friday,January,1,5.4,3.2,6.8,8.4,False,357
2015-01-02,2527.0,2845.0,Mary_Street,5372.0,Friday,January,1,5.4,3.2,6.8,8.4,False,357
2015-01-02,4991.0,6409.0,O_Connell_St,11400.0,Friday,January,1,5.4,3.2,6.8,8.4,False,357
2015-02-02,2876.0,2622.0,Capel_Street,5498.0,Monday,February,6,-0.3,-2.3,4.2,0.0,False,326
2015-02-02,19826.0,20415.0,Henry_Street,40241.0,Monday,February,6,-0.3,-2.3,4.2,0.0,False,326
2015-02-02,3106.0,2943.0,Mary_Street,6049.0,Monday,February,6,-0.3,-2.3,4.2,0.0,False,326
2015-02-02,6992.0,9032.0,O_Connell_St,16024.0,Monday,February,6,-0.3,-2.3,4.2,0.0,False,326
2015-03-02,3168.0,2628.0,Capel_Street,5796.0,Monday,March,10,1.9,0.4,5.2,2.7,False,298
2015-03-02,21058.0,21279.0,Henry_Street,42337.0,Monday,March,10,1.9,0.4,5.2,2.7,False,298
2015-03-02,2929.0,3073.0,Mary_Street,6002.0,Monday,March,10,1.9,0.4,5.2,2.7,False,298
2015-03-02,7085.0,9646.0,O_Connell_St,16731.0,Monday,March,10,1.9,0.4,5.2,2.7,False,298
2015-04-02,3172.0,2803.0,Capel_Street,5975.0,Thursday,April,14,6.3,4.9,10.5,6.6,False,267
2015-04-02,20911.0,21414.0,Henry_Street,42325.0,Thursday,April,14,6.3,4.9,10.5,6.6,False,267
2015-04-02,3020.0,3501.0,Mary_Street,6521.0,Thursday,April,14,6.3,4.9,10.5,6.6,False,267
2015-04-02,7729.0,9717.0,O_Connell_St,17446.0,Thursday,April,14,6.3,4.9,10.5,6.6,False,267
2015-05-02,3281.0,3005.0,Capel_Street,6286.0,Saturday,May,18,6.9,5.9,11.2,24.9,False,237
2015-05-02,22667.0,23635.0,Henry_Street,46302.0,Saturday,May,18,6.9,5.9,11.2,24.9,False,237
2015-05-02,3269.0,3709.0,Mary_Street,6978.0,Saturday,May,18,6.9,5.9,11.2,24.9,False,237
2015-05-02,7084.0,9741.0,O_Connell_St,16825.0,Saturday,May,18,6.9,5.9,11.2,24.9,False,237
2015-06-02,3000.0,2946.0,Capel_Street,5946.0,Tuesday,June,23,10.7,6.6,16.0,0.3,False,206
2015-06-02,22314.0,24653.0,Henry_Street,46967.0,Tuesday,June,23,10.7,6.6,16.0,0.3,False,206
2015-06-02,2924.0,3290.0,Mary_Street,6214.0,Tuesday,June,23,10.7,6.6,16.0,0.3,False,206
2015-06-02,7675.0,8395.0,O_Connell_St,16070.0,Tuesday,June,23,10.7,6.6,16.0,0.3,False,206
2015-07-02,3682.0,2966.0,Capel_Street,6648.0,Thursday,July,27,17.3,14.9,21.2,0.0,False,176
2015-07-02,21658.0,22467.0,Henry_Street,44125.0,Thursday,July,27,17.3,14.9,21.2,0.0,False,176
2015-07-02,3291.0,3299.0,Mary_Street,6590.0,Thursday,July,27,17.3,14.9,21.2,0.0,False,176
2015-07-02,6052.0,7857.0,O_Connell_St,13909.0,Thursday,July,27,17.3,14.9,21.2,0.0,False,176
2015-08-02,2219.0,2160.0,Capel_Street,4379.0,Sunday,August,31,14.2,11.8,17.7,0.6,False,145
2015-08-02,14528.0,14017.0,Henry_Street,28545.0,Sunday,August,31,14.2,11.8,17.7,0.6,False,145
2015-08-02,2262.0,1823.0,Mary_Street,4085.0,Sunday,August,31,14.2,11.8,17.7,0.6,False,145
2015-08-02,3946.0,4522.0,O_Connell_St,8468.0,Sunday,August,31,14.2,11.8,17.7,0.6,False,145
2015-09-02,2800.0,2536.0,Capel_Street,5336.0,Wednesday,September,36,10.3,7.3,15.2,0.1,False,114
2015-09-02,19325.0,19020.0,Henry_Street,38345.0,Wednesday,September,36,10.3,7.3,15.2,0.1,False,114
2015-09-02,2834.0,2352.0,Mary_Street,5186.0,Wednesday,September,36,10.3,7.3,15.2,0.1,False,114
2015-09-02,6929.0,6058.0,O_Connell_St,12987.0,Wednesday,September,36,10.3,7.3,15.2,0.1,False,114
2015-10-02,2455.0,2330.0,Capel_Street,4785.0,Friday,October,40,10.8,6.8,15.9,0.0,False,84
2015-10-02,18979.0,20606.0,Henry_Street,39585.0,Friday,October,40,10.8,6.8,15.9,0.0,False,84
2015-10-02,2888.0,2624.0,Mary_Street,5512.0,Friday,October,40,10.8,6.8,15.9,0.0,False,84
2015-10-02,6034.0,5698.0,O_Connell_St,11732.0,Friday,October,40,10.8,6.8,15.9,0.0,False,84
2015-11-02,2861.0,2899.0,Capel_Street,5760.0,Monday,November,45,11.4,6.5,15.8,0.2,False,53
2015-11-02,19442.0,20618.0,Henry_Street,40060.0,Monday,November,45,11.4,6.5,15.8,0.2,False,53
2015-11-02,2925.0,2997.0,Mary_Street,5922.0,Monday,November,45,11.4,6.5,15.8,0.2,False,53
2015-11-02,5777.0,5549.0,O_Connell_St,11326.0,Monday,November,45,11.4,6.5,15.8,0.2,False,53
2015-12-02,2535.0,2649.0,Capel_Street,5184.0,Wednesday,December,49,10.0,11.0,13.0,1.2,False,23
2015-12-02,22629.0,24976.0,Henry_Street,47605.0,Wednesday,December,49,10.0,11.0,13.0,1.2,False,23
2015-12-02,3414.0,3305.0,Mary_Street,6719.0,Wednesday,December,49,10.0,11.0,13.0,1.2,False,23
2015-12-02,7205.0,6352.0,O_Connell_St,13557.0,Wednesday,December,49,10.0,11.0,13.0,1.2,False,23
2015-02-13,2836.0,2985.0,Capel_Street,5821.0,Friday,February,7,6.3,3.8,8.9,2.7,False,315
2015-02-13,19725.0,20808.0,Henry_Street,40533.0,Friday,February,7,6.3,3.8,8.9,2.7,False,315
2015-02-13,2935.0,2555.0,Mary_Street,5490.0,Friday,February,7,6.3,3.8,8.9,2.7,False,315
2015-02-13,5318.0,5656.0,O_Connell_St,10974.0,Friday,February,7,6.3,3.8,8.9,2.7,False,315
2015-02-14,3099.0,2875.0,Capel_Street,5974.0,Saturday,February,7,6.1,3.5,10.1,0.0,False,314
2015-02-14,21012.0,24699.0,Henry_Street,45711.0,Saturday,February,7,6.1,3.5,10.1,0.0,False,314
2015-02-14,3705.0,3917.0,Mary_Street,7622.0,Saturday,February,7,6.1,3.5,10.1,0.0,False,314
2015-02-14,9655.0,5008.0,O_Connell_St,14663.0,Saturday,February,7,6.1,3.5,10.1,0.0,False,314
2015-02-15,2260.0,2275.0,Capel_Street,4535.0,Sunday,February,7,4.8,-0.1,10.4,6.2,False,313
2015-02-15,14869.0,16752.0,Henry_Street,31621.0,Sunday,February,7,4.8,-0.1,10.4,6.2,False,313
2015-02-15,2489.0,2238.0,Mary_Street,4727.0,Sunday,February,7,4.8,-0.1,10.4,6.2,False,313
2015-02-15,4868.0,4815.0,O_Connell_St,9683.0,Sunday,February,7,4.8,-0.1,10.4,6.2,False,313
2015-02-16,3002.0,2633.0,Capel_Street,5635.0,Monday,February,8,4.7,3.7,7.6,0.0,False,312
2015-02-16,21215.0,21787.0,Henry_Street,43002.0,Monday,February,8,4.7,3.7,7.6,0.0,False,312
2015-02-16,3033.0,2568.0,Mary_Street,5601.0,Monday,February,8,4.7,3.7,7.6,0.0,False,312
2015-02-16,7142.0,9241.0,O_Connell_St,16383.0,Monday,February,8,4.7,3.7,7.6,0.0,False,312
2015-02-17,3200.0,2781.0,Capel_Street,5981.0,Tuesday,February,8,4.6,-0.1,9.9,0.0,False,311
2015-02-17,22213.0,23084.0,Henry_Street,45297.0,Tuesday,February,8,4.6,-0.1,9.9,0.0,False,311
2015-02-17,3355.0,3018.0,Mary_Street,6373.0,Tuesday,February,8,4.6,-0.1,9.9,0.0,False,311
2015-02-17,8073.0,8296.0,O_Connell_St,16369.0,Tuesday,February,8,4.6,-0.1,9.9,0.0,False,311
2015-02-18,3352.0,3160.0,Capel_Street,6512.0,Wednesday,February,8,9.6,4.2,12.7,0.9,False,310
2015-02-18,22957.0,23449.0,Henry_Street,46406.0,Wednesday,February,8,9.6,4.2,12.7,0.9,False,310
2015-02-18,3124.0,3062.0,Mary_Street,6186.0,Wednesday,February,8,9.6,4.2,12.7,0.9,False,310
2015-02-18,8482.0,7887.0,O_Connell_St,16369.0,Wednesday,February,8,9.6,4.2,12.7,0.9,False,310
2015-02-19,3259.0,2904.0,Capel_Street,6163.0,Thursday,February,8,6.8,6.7,8.8,2.4,False,309
2015-02-19,22724.0,22044.0,Henry_Street,44768.0,Thursday,February,8,6.8,6.7,8.8,2.4,False,309
2015-02-19,3165.0,2626.0,Mary_Street,5791.0,Thursday,February,8,6.8,6.7,8.8,2.4,False,309
2015-02-19,7508.0,7992.0,O_Connell_St,15500.0,Thursday,February,8,6.8,6.7,8.8,2.4,False,309
2015-02-20,2770.0,2560.0,Capel_Street,5330.0,Friday,February,8,2.9,1.0,6.7,0.0,False,308
2015-02-20,24369.0,23374.0,Henry_Street,47743.0,Friday,February,8,2.9,1.0,6.7,0.0,False,308
2015-02-20,3581.0,3123.0,Mary_Street,6704.0,Friday,February,8,2.9,1.0,6.7,0.0,False,308
2015-02-20,9457.0,7442.0,O_Connell_St,16899.0,Friday,February,8,2.9,1.0,6.7,0.0,False,308
2015-02-21,2965.0,2792.0,Capel_Street,5757.0,Saturday,February,8,2.3,0.8,7.1,0.6,False,307
2015-02-21,22095.0,22511.0,Henry_Street,44606.0,Saturday,February,8,2.3,0.8,7.1,0.6,False,307
2015-02-21,3485.0,3564.0,Mary_Street,7049.0,Saturday,February,8,2.3,0.8,7.1,0.6,False,307
2015-02-21,6441.0,8150.0,O_Connell_St,14591.0,Saturday,February,8,2.3,0.8,7.1,0.6,False,307
2015-02-22,1921.0,1959.0,Capel_Street,3880.0,Sunday,February,8,5.2,0.3,10.9,4.6,False,306
2015-02-22,12758.0,12797.0,Henry_Street,25555.0,Sunday,February,8,5.2,0.3,10.9,4.6,False,306
2015-02-22,2061.0,2016.0,Mary_Street,4077.0,Sunday,February,8,5.2,0.3,10.9,4.6,False,306
2015-02-22,3719.0,3423.0,O_Connell_St,7142.0,Sunday,February,8,5.2,0.3,10.9,4.6,False,306
2015-02-23,2612.0,2225.0,Capel_Street,4837.0,Monday,February,9,2.9,0.7,6.0,3.9,False,305
2015-02-23,16410.0,17637.0,Henry_Street,34047.0,Monday,February,9,2.9,0.7,6.0,3.9,False,305
2015-02-23,2185.0,1829.0,Mary_Street,4014.0,Monday,February,9,2.9,0.7,6.0,3.9,False,305
2015-02-23,2714.0,2192.0,O_Connell_St,4906.0,Monday,February,9,2.9,0.7,6.0,3.9,False,305
2015-02-24,2918.0,2587.0,Capel_Street,5505.0,Tuesday,February,9,4.7,1.0,8.5,2.5,False,304
2015-02-24,19712.0,20230.0,Henry_Street,39942.0,Tuesday,February,9,4.7,1.0,8.5,2.5,False,304
2015-02-24,2828.0,2611.0,Mary_Street,5439.0,Tuesday,February,9,4.7,1.0,8.5,2.5,False,304
2015-02-24,2621.0,1901.0,O_Connell_St,4522.0,Tuesday,February,9,4.7,1.0,8.5,2.5,False,304
2015-02-25,2991.0,2819.0,Capel_Street,5810.0,Wednesday,February,9,8.9,4.0,12.2,2.0,False,303
2015-02-25,20190.0,20178.0,Henry_Street,40368.0,Wednesday,February,9,8.9,4.0,12.2,2.0,False,303
2015-02-25,2909.0,2653.0,Mary_Street,5562.0,Wednesday,February,9,8.9,4.0,12.2,2.0,False,303
2015-02-25,2406.0,1813.0,O_Connell_St,4219.0,Wednesday,February,9,8.9,4.0,12.2,2.0,False,303
2015-02-26,2988.0,2497.0,Capel_Street,5485.0,Thursday,February,9,6.6,5.9,7.8,0.0,False,302
2015-02-26,21881.0,22082.0,Henry_Street,43963.0,Thursday,February,9,6.6,5.9,7.8,0.0,False,302
2015-02-26,2955.0,2424.0,Mary_Street,5379.0,Thursday,February,9,6.6,5.9,7.8,0.0,False,302
2015-02-26,7049.0,8030.0,O_Connell_St,15079.0,Thursday,February,9,6.6,5.9,7.8,0.0,False,302
2015-02-27,3079.0,2914.0,Capel_Street,5993.0,Friday,February,9,4.4,1.0,8.7,0.0,False,301
2015-02-27,23293.0,25138.0,Henry_Street,48431.0,Friday,February,9,4.4,1.0,8.7,0.0,False,301
2015-02-27,3685.0,3359.0,Mary_Street,7044.0,Friday,February,9,4.4,1.0,8.7,0.0,False,301
2015-02-27,8456.0,8614.0,O_Connell_St,17070.0,Friday,February,9,4.4,1.0,8.7,0.0,False,301
2015-02-28,3186.0,2947.0,Capel_Street,6133.0,Saturday,February,9,8.7,3.2,12.3,0.4,False,300
2015-02-28,21191.0,23170.0,Henry_Street,44361.0,Saturday,February,9,8.7,3.2,12.3,0.4,False,300
2015-02-28,3481.0,3349.0,Mary_Street,6830.0,Saturday,February,9,8.7,3.2,12.3,0.4,False,300
2015-02-28,5256.0,5177.0,O_Connell_St,10433.0,Saturday,February,9,8.7,3.2,12.3,0.4,False,300
2015-01-03,1864.0,2042.0,Capel_Street,3906.0,Saturday,January,1,3.1,3.5,5.8,1.2,False,356
2015-01-03,12229.0,11569.0,Henry_Street,23798.0,Saturday,January,1,3.1,3.5,5.8,1.2,False,356
